"sound.files","selec","start","end","bottom.freq","top.freq","frequency","duration","frequency.modulation","amplitude.modulation","harmonics","treatment","sound.id"
"master.wav",1,1,2,1.33333333333333,2.66666666666667,NA,NA,NA,NA,NA,NA,"start_marker"
"master.wav",2,2.05,2.25002267573696,7.875,8.805,8.5,0.2,"no.fm","no.am","pure.tone","dur=0.2;freq=;no.fm;am;pure.tone","dur=0.2;freq=;no.fm;am;pure.tone_1"
"master.wav",3,2.30002267573696,2.50004535147392,3.208,4.069,3.5,0.2,"no.fm","no.am","pure.tone","dur=0.2;freq=;no.fm;am;pure.tone","dur=0.2;freq=;no.fm;am;pure.tone_2"
"master.wav",4,2.55004535147392,2.75006802721088,0.422,1.223,1,0.2,"no.fm","no.am","pure.tone","dur=0.2;freq=;no.fm;am;pure.tone","dur=0.2;freq=;no.fm;am;pure.tone_3"
"master.wav",5,2.80006802721088,3.00009070294785,6.905,7.917,7.5,0.2,"no.fm","no.am","pure.tone","dur=0.2;freq=;no.fm;am;pure.tone","dur=0.2;freq=;no.fm;am;pure.tone_4"
"master.wav",6,3.05009070294785,3.25011337868481,8.417,9.416,9,0.2,"no.fm","no.am","pure.tone","dur=0.2;freq=;no.fm;am;pure.tone","dur=0.2;freq=;no.fm;am;pure.tone_5"
"master.wav",7,3.30011337868481,3.50013605442177,4.171,4.839,4.5,0.2,"no.fm","no.am","pure.tone","dur=0.2;freq=;no.fm;am;pure.tone","dur=0.2;freq=;no.fm;am;pure.tone_6"
"master.wav",8,3.55013605442177,3.75015873015873,2.097,2.961,2.5,0.2,"no.fm","no.am","pure.tone","dur=0.2;freq=;no.fm;am;pure.tone","dur=0.2;freq=;no.fm;am;pure.tone_7"
"master.wav",9,3.80015873015873,4.00018140589569,9.181,10.033,9.5,0.2,"no.fm","no.am","pure.tone","dur=0.2;freq=;no.fm;am;pure.tone","dur=0.2;freq=;no.fm;am;pure.tone_8"
"master.wav",10,4.05018140589569,4.25020408163265,1.849,2.506,2,0.2,"no.fm","no.am","pure.tone","dur=0.2;freq=;no.fm;am;pure.tone","dur=0.2;freq=;no.fm;am;pure.tone_9"
"master.wav",11,4.30020408163265,4.50022675736961,5.632,6.83,6,0.2,"no.fm","no.am","pure.tone","dur=0.2;freq=;no.fm;am;pure.tone","dur=0.2;freq=;no.fm;am;pure.tone_10"
"master.wav",12,4.55022675736961,4.75024943310658,1.474,2.55,2,0.2,"no.fm","no.am","pure.tone","dur=0.2;freq=;no.fm;am;pure.tone","dur=0.2;freq=;no.fm;am;pure.tone_11"
"master.wav",13,4.80024943310658,5.00027210884354,9.598,10.233,10,0.2,"no.fm","no.am","pure.tone","dur=0.2;freq=;no.fm;am;pure.tone","dur=0.2;freq=;no.fm;am;pure.tone_12"
"master.wav",14,5.05027210884354,5.2502947845805,7.317,8.141,7.5,0.2,"no.fm","no.am","pure.tone","dur=0.2;freq=;no.fm;am;pure.tone","dur=0.2;freq=;no.fm;am;pure.tone_13"
"master.wav",15,5.3002947845805,5.50031746031746,0.1,0.81,0.5,0.2,"no.fm","no.am","pure.tone","dur=0.2;freq=;no.fm;am;pure.tone","dur=0.2;freq=;no.fm;am;pure.tone_14"
"master.wav",16,5.55031746031746,5.75034013605442,5.396,6.152,6,0.2,"no.fm","no.am","pure.tone","dur=0.2;freq=;no.fm;am;pure.tone","dur=0.2;freq=;no.fm;am;pure.tone_15"
"master.wav",17,5.80034013605442,6.00036281179138,9.435,10.377,10,0.2,"no.fm","no.am","pure.tone","dur=0.2;freq=;no.fm;am;pure.tone","dur=0.2;freq=;no.fm;am;pure.tone_16"
"master.wav",18,6.05036281179138,6.25038548752834,1.23,2.525,2,0.2,"no.fm","no.am","pure.tone","dur=0.2;freq=;no.fm;am;pure.tone","dur=0.2;freq=;no.fm;am;pure.tone_17"
"master.wav",19,6.30038548752834,6.50040816326531,0.836,1.646,1,0.2,"no.fm","no.am","pure.tone","dur=0.2;freq=;no.fm;am;pure.tone","dur=0.2;freq=;no.fm;am;pure.tone_18"
"master.wav",20,6.55040816326531,6.75043083900227,5.718,7.372,6.5,0.2,"no.fm","no.am","pure.tone","dur=0.2;freq=;no.fm;am;pure.tone","dur=0.2;freq=;no.fm;am;pure.tone_19"
"master.wav",21,6.80043083900227,7.00045351473923,4.792,5.287,5,0.2,"no.fm","no.am","pure.tone","dur=0.2;freq=;no.fm;am;pure.tone","dur=0.2;freq=;no.fm;am;pure.tone_20"
